12.5663301,<---Weights,,,,,MAD ,,,,
1983,202.9,136.1525206,66.74747943,66.74747943,,,,,,
1983,322.3,185.863625,136.436375,136.436375,,,,,,
1983,307.5,227.943614,79.556386,79.556386,,,,,,
1983,234.8,221.9889773,12.81102269,12.81102269,,,,,,
1984,236.5,214.6215185,21.87848149,21.87848149,,,,,,
1984,332.6,295.9267244,36.67327563,36.67327563,,,,,,
1984,280.3,313.919408,-33.61940798,33.61940798,,,,,,
1984,234.7,248.6823935,-13.98239347,13.98239347,,,,,,
1985,215.3,237.5686056,-22.26860557,22.26860557,,,,,,
1985,317.9,296.004782,21.89521803,21.89521803,,,,,,
1985,295,290.9812925,4.018707497,4.018707497,,,,,,
1985,244.1,252.7337224,-8.633722396,8.633722396,,,,,,
1986,234.1,225.7950111,8.304988871,8.304988871,,,,,,
1986,369.4,291.999418,77.40058202,77.40058202,,,,,,
1986,325.4,316.7969593,8.603040741,8.603040741,,,,,,
1986,250.6,268.6859155,-18.08591552,18.08591552,,,,,,
1987,241.4,241.4000238,-2.37958E-05,2.37958E-05,,,,,,
1987,346.5,329.6864856,16.81351444,16.81351444,,,,,,
1987,321.3,330.5661641,-9.266164148,9.266164148,,,,,,
1987,237.1,271.9718963,-34.87189627,34.87189627,,,,,,
1988,219.7,241.858813,-22.15881295,22.15881295,,,,,,
1988,323.7,307.4681284,16.23187163,16.23187163,,,,,,
1988,293.4,320.6142727,-27.21427274,27.21427274,,,,,,
1988,244.6,253.9494519,-9.349451904,9.349451904,,,,,,
1989,212.7,229.0310949,-16.33109488,16.33109488,,,,,,
1989,302.1,289.3931006,12.70689945,12.70689945,,,,,,
1989,272.1,295.2280164,-23.12801638,23.12801638,,,,,,
1989,216.5,252.4365264,-35.93652643,35.93652643,,,,,,
1990,217,215.3609755,1.639024524,1.639024524,,,,,,
1990,271.3,275.6841536,-4.384153634,4.384153634,,,,,,
1990,233,270.921071,-37.92107102,37.92107102,,,,,,
1990,173.6,221.532315,-47.93231498,47.93231498,,,,,,
1991,146.7,204.6990873,-57.99908733,57.99908733,,,,,,
1991,254.1,232.7176039,21.38239605,21.38239605,,,,,,
1991,239.8,238.4252347,1.37476526,1.37476526,,,,,,
1991,199.8,193.3039778,6.496022212,6.496022212,,,,,,
1992,218.5,164.6746002,53.82539975,53.82539975,,,,,,
1992,296.4,243.0199818,53.38001816,53.38001816,,,,,,
1992,276.4,256.3606011,20.0393989,20.0393989,,,,,,
1992,238.8,223.4376776,15.36232244,15.36232244,,,,,,
1993,213.2,225.9914173,-12.79141727,12.79141727,,,,,,
1993,323.7,270.7308914,52.9691086,52.9691086,,,,,,
1993,309.3,290.169321,19.13067902,19.13067902,,,,,,
1993,279.4,259.8351071,19.56489289,19.56489289,,,,,,
1994,252.6,235.2154258,17.3845742,17.3845742,,,,,,
1994,354.3,301.8092949,52.49070514,52.49070514,,,,,,
1994,325.7,322.4985546,3.201445433,3.201445433,,,,,,
1994,265.9,293.0465278,-27.14652785,27.14652785,,,,,,
1995,214.2,258.360446,-44.16044605,44.16044605,,,,,,
1995,296.7,311.1613602,-14.46136019,14.46136019,,,,,,
1995,308.2,315.8641074,-7.664107442,7.664107442,,,,,,
1995,257.2,277.909725,-20.70972496,20.70972496,,,,,,
1996,240,228.6804754,11.31952458,11.31952458,,,,,,
1996,344.5,279.6295022,64.87049782,64.87049782,,,,,,
1996,324,318.3946269,5.60537314,5.60537314,,,,,,
1996,252.4,277.249846,-24.84984602,24.84984602,,,,,,
1997,237.8,245.5335187,-7.733518688,7.733518688,,,,,,
1997,324.5,311.6672234,12.83277662,12.83277662,,,,,,
1997,314.6,322.9477295,-8.347729478,8.347729478,,,,,,
1997,256.8,271.0929818,-14.29298178,14.29298178,,,,,,
1998,258.4,245.0436349,13.3563651,13.3563651,,,,,,
1998,360.4,304.2073923,56.19260767,56.19260767,,,,,,
1998,348,327.5727826,20.42721739,20.42721739,,,,,,
1998,304.6,284.5954018,20.00459824,20.00459824,,,,,,
1999,294.1,274.1828522,19.91714783,19.91714783,,,,,,
1999,377.1,340.0044396,37.09556038,37.09556038,,,,,,
1999,355.6,356.130231,-0.530231038,0.530231038,,,,,,
1999,308.1,319.9517903,-11.85179026,11.85179026,,,,,,
2000,299.7589956,299.7589956,,,,,,,,
2000,353.1895984,353.1895984,,,,,,,,
2000,354.067002,354.067002,,,,,,,,
2000,321.9556683,321.9556683,,,,,,,,
